Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2
180	43.3588782	35.6943080	24.8815032	21.2314911	11.0101122	19.5624424	20.5832522	37.0136181	23.6712174	18.3524362	11.3412611	6.8361393	32.9279160	30.7788662	26.5774076	22.5409371	11.8639674	10.5556550	16.6833254	16.2969822	27.9063123	26.0838168	21.2204207	10.5474555	19.4404250	8.1883301	16.2683899	14.6416823	20.2588413	0.0361502	0.0216792
185	42.6793511	32.0771976	21.8554607	15.2310330	14.8087640	14.4320946	18.6938150	37.5215483	25.0575833	12.9299941	11.4125618	6.8361393	35.3100987	30.3006562	23.0293914	17.8007874	11.8639674	6.7006663	16.6833254	15.7485899	28.9531074	28.6844918	24.8322834	17.2802903	25.9327878	6.0599475	14.2161628	10.9227944	28.2503366	0.0361502	0.0250217
190	40.2726120	25.4828312	19.1899190	18.7918277	13.9672247	14.5070758	15.4609948	36.1959630	20.0655930	13.6804490	16.4590230	8.8860713	35.8410956	35.3586195	27.0357150	21.8147440	7.7671625	6.8878942	18.6097223	17.2370924	29.3368052	28.8924919	22.7856685	15.6379458	17.5208362	5.9704291	13.6443973	10.9227944	22.6852490	0.0361502	0.0201752
195	42.5464635	28.9445002	23.1821486	22.2201394	13.9672247	14.5070758	17.2779080	41.6838445	17.1854793	13.2196134	11.3222529	8.8860713	40.5868387	34.9967887	24.6159361	21.8851682	9.1206356	7.2311381	20.2631831	17.2370924	32.5868256	30.9930102	22.2797123	12.1493526	17.5618458	9.4467903	11.6750374	9.2759317	24.8648058	0.0361502	0.0298266
200	42.7512050	27.7177934	25.4869397	19.5309352	16.6839959	14.6678326	18.9251772	40.0362243	23.5507619	19.1304326	13.9772395	7.5365078	34.3282036	33.3141683	22.3283529	21.8866210	12.5978890	11.8083467	18.7339173	16.1452405	31.4613691	31.3072378	20.5168180	10.8405721	16.4437306	7.0631382	13.4990866	9.9151129	21.2858047	0.0338605	0.0295188
205	37.7108129	28.0162862	22.4400187	18.8219749	11.7877565	15.4453442	21.4977993	36.4497458	21.2346899	13.6986609	15.5401269	8.8191953	34.4395027	32.7626803	23.3080421	17.6984147	10.9072294	6.8906969	17.4324961	10.6286662	31.4001182	26.9162773	26.1042392	14.0287607	16.6551911	6.3545682	14.3318493	11.6707660	24.4162652	0.0338605	0.0438253
210	37.0418723	25.0151387	23.8940785	21.8279841	16.0547270	18.7479505	21.8957759	36.6043170	23.7288972	16.1951606	10.5474624	8.5205373	32.2209525	31.9352690	25.0601663	22.2063545	9.6463506	6.8906969	14.1370544	21.8568423	29.4060778	29.2551010	20.3843353	16.9208140	23.3429973	8.1806379	20.2059978	10.4486633	23.9301348	0.0338605	0.0363471
215	42.5215546	25.0151387	23.3864703	21.4565558	16.0547270	12.1075913	22.7478797	38.8327109	20.7531770	14.8791003	11.2165053	7.3312493	33.4700329	31.8153788	23.2102387	21.0193635	9.2369884	8.0925822	20.4958669	16.5097238	30.2424316	26.9980654	24.7226845	16.5074598	20.8784211	10.2589570	16.6411054	8.9264739	26.3381689	0.0329739	0.0829973
220	43.2913478	26.8094823	25.4133774	17.7863042	16.0547270	14.4872560	20.6314165	35.3168793	18.6024665	13.3925084	17.7087483	10.4459571	31.9290199	31.8792627	26.1921437	23.1265509	12.9465703	10.5203089	21.6299860	12.3128988	27.3383632	27.0522135	21.4579870	17.9925235	17.9705797	6.1240040	16.4564874	10.3921132	26.3381689	0.0337526	0.0590888
225	40.3151765	33.2548663	23.6221381	18.4242864	11.9126951	16.5720187	17.7479724	37.1982723	25.5192977	13.3925084	10.0634222	7.3568397	35.9929838	33.8760757	28.0108499	25.9211493	11.0520192	9.6236552	18.4432604	17.0168568	30.5095160	26.2330332	26.0267837	12.2568044	17.2651027	8.7465040	16.7779065	10.8282322	24.3204238	0.0334984	0.0590888
230	41.3113990	32.2801582	23.4356632	21.5851831	11.7211467	16.2371637	21.3138734	36.0054256	21.3288173	14.6067713	10.9931487	6.3879955	33.5527077	27.5386536	24.8826285	21.4056864	11.0520192	8.9362865	14.5369054	17.5727726	25.7417040	24.7456375	24.0440440	11.5992962	17.9742284	10.7392173	14.5016834	12.9343029	24.3204238	0.0316580	0.0404725
235	44.0447336	24.6744089	22.4694286	21.1431009	13.7034380	16.2371637	21.3138734	32.8100572	23.1916125	12.3649161	11.9933958	8.9722527	28.5646643	28.0564881	22.5125630	21.6921580	11.0520192	10.9647184	18.2348533	17.5727726	27.3494222	24.1990620	23.5649776	16.5515105	20.7133558	7.5569178	18.5423500	13.1899268	26.2736680	0.0334291	0.0303942
240	38.8460228	25.9134346	22.8202838	21.9304047	17.1831077	19.4617369	21.3138734	32.7521932	17.4440092	15.3849570	11.9933958	7.0743937	30.3119159	29.3895658	28.2422411	22.1360580	11.0520192	10.9647184	16.9310332	13.2170405	27.4563294	24.4974149	20.2076541	16.9333522	19.2809613	10.0155002	17.1206001	16.0096322	22.6171574	0.0324319	0.0427591
245	38.6555216	32.6571345	24.7948514	22.0493986	10.6356081	13.8136429	15.3160220	35.6306595	21.6906152	13.1556262	13.4928873	8.4763201	34.8665494	32.6616482	23.8222792	22.8818281	11.0520192	6.3756078	17.6297301	19.8736899	29.0482470	25.3060678	24.4991725	16.1482563	19.1766711	7.1923631	15.6559905	14.1436857	23.8008313	0.0338952	0.0618002
