Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
175	40.9958757	28.0114410	23.0492790	21.2152957	14.8663074	18.0525345	19.2529063	38.4845485	22.9407220	17.5664907	14.0158359	9.4914435	33.1744378	31.8617816	24.5466728	21.8224516	10.6774425	9.0716633	19.2416231	15.6274112	29.8388181	28.7803108	23.7408055	14.9181375	18.4762801	8.0143253	15.0531098	12.9686886	25.2776256	0.0146521	0.0167522	-27.729
180	40.1419610	29.7990864	22.2165913	20.7533070	13.1499277	17.2249342	21.1158272	38.4845485	21.6239787	16.2717093	14.1026716	8.7272084	34.7615184	33.2568620	24.2989908	21.6267905	11.5938775	8.3397701	19.2416231	16.7813206	30.1324493	28.7803108	25.9487643	16.5569900	17.5656305	7.6922307	14.8317621	12.9686886	25.2776256	0.0146521	0.0132509	-33.753
185	40.1419610	30.3221596	22.2165913	19.8260169	11.6772019	15.7169551	21.1158272	36.7737113	21.6239787	15.3150089	13.4789180	8.3678007	33.7772601	32.3682226	24.9463826	21.6267905	11.1166018	8.9438623	19.2416231	16.8081888	30.1324493	29.8576437	25.0420241	17.4058296	17.9192546	7.6922307	14.8317621	12.9686886	24.0100215	0.0147527	0.0170175	-19.592
190	39.6614813	29.1036705	21.3545964	19.0024680	11.6772019	16.8033693	19.0408467	36.7737113	22.1576479	16.8012404	13.4789180	8.6013079	34.9424043	32.8629491	25.3277487	22.9189095	11.1166018	9.9764168	20.7166978	16.1515274	29.1602477	28.5736094	26.1007603	16.9810418	18.3203079	9.2360140	14.8317621	13.8430394	23.1465450	0.0151837	0.0170175	-24.138
195	38.8585136	25.2491935	21.7798566	19.9443628	13.1642363	16.8033693	20.6059756	36.7737113	20.3811269	16.3253815	13.4789180	7.8490532	33.7432745	30.7930909	25.1925498	22.9189095	10.1720839	7.5334610	20.7166978	16.8900149	29.4953244	28.1514260	24.2266001	13.8071745	17.7110871	6.2714346	14.8652479	13.0997582	24.0521015	0.0148809	0.0170175	-23.920
200	39.3515128	28.0288444	22.0909998	21.1361209	13.3567597	16.8033693	21.0346192	35.4625758	21.0428856	16.2581571	13.1356251	8.5938839	32.0953207	30.5573144	25.5450228	22.7312588	10.1439752	8.8040781	19.7622408	17.1329294	28.4683236	28.3648315	24.2266001	15.3399964	17.8143498	8.1951003	14.8652479	13.0997582	24.0521015	0.0146464	0.0170175	-24.094
205	37.9687472	27.7924791	21.6764706	19.7779887	12.2020101	15.9184826	20.0690511	35.4625758	22.2486677	17.0355751	13.6359020	8.5959520	33.6895544	30.5183674	26.8845995	22.3154036	10.1439752	8.8040781	19.7620140	16.7151826	28.4683236	27.0559915	22.7808424	15.9108343	18.8874727	7.7772805	14.8652479	13.9676723	20.9298422	0.0161443	0.0263752	-34.019
210	37.9687472	29.7533081	22.9410381	21.1041794	11.4803605	18.0168585	21.8800669	35.4625758	21.5263282	18.2256097	15.2977565	9.5816201	32.0193416	30.6521330	24.2619305	21.0195411	10.9090775	9.1262603	19.0974786	16.7151826	29.1258635	28.8794927	25.8800697	15.5015670	18.8874727	7.7772805	14.5023651	13.4802740	23.8931594	0.0157558	0.0236116	-26.786
215	38.4967757	30.1788160	23.2525773	20.3745272	11.4803605	15.8609996	19.4567299	37.2369073	22.2961524	17.0837913	14.9819362	9.5816201	31.6805558	30.3282141	25.0336134	21.0195411	11.3450326	7.7315609	18.9559009	18.9641293	29.1258635	28.8794927	23.8685066	13.1521643	18.8874727	6.9258096	15.5831043	13.4802740	22.8973374	0.0151840	0.0349781	-29.830
220	38.8118821	27.1399942	23.4387471	21.6626148	11.4803605	18.0148455	22.9928719	35.0841254	21.2638141	16.7177877	13.5768641	10.2300725	31.5176427	30.8430250	24.3517373	22.0487098	10.0552269	8.2424119	19.8934050	17.2277660	29.6347414	27.9574243	24.4003919	13.8817799	18.7700617	8.0990015	16.0117825	14.6038461	23.7313612	0.0153377	0.0252910	-29.505
225	40.3047976	29.1940244	23.4387471	21.6626148	10.8901285	19.2953033	20.1641404	35.0841254	22.7604763	16.0612984	13.1591303	8.1560197	31.5176427	30.7718120	24.3517373	22.0487098	10.1171455	8.3025649	19.8934050	15.5676567	29.4949132	28.4666879	24.5622424	14.9039157	19.0734480	7.9745470	16.0117825	13.0105348	25.4968503	0.0147037	0.0233622	-23.411
230	39.0098758	29.1940244	24.3983782	22.7838841	12.0733494	19.2953033	21.9122653	36.2346977	20.7223918	14.7006558	12.5204599	8.1560197	32.6004672	31.0783783	23.8801992	20.5566542	10.1171455	8.3025649	17.9734885	15.1841365	28.9738720	27.7508517	24.5622424	15.3082210	17.4049840	8.9100210	14.5063853	12.4842689	25.4968503	0.0148587	0.0233622	-23.089
235	40.4354340	29.1940244	24.8562804	23.4924521	15.0505059	18.8585983	21.9122653	36.2346977	20.7223918	14.3312516	12.0949740	8.0012517	34.0454037	31.5731104	23.5642932	21.9743232	10.5324244	9.3142846	18.3803956	17.0827741	29.5761558	28.7643290	24.5622424	15.9107937	17.1842734	8.9100210	13.3856009	11.2686584	24.5736327	0.0148587	0.0137355	-26.224
240	40.0124345	28.4871538	23.9901747	22.6919866	15.1886033	18.3461947	21.4313394	36.2346977	19.8749585	14.0111048	11.8283979	8.0012517	33.1220562	31.1026285	23.0145345	20.5726888	9.3123617	8.2332834	18.3803956	15.4095409	29.5805739	28.7658144	26.6573760	16.9400429	19.6197383	8.9100210	14.7491997	13.8692778	24.1607132	0.0147859	0.0137355	-21.143
